 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3638mV, curr:1120mA, ntc:7519R, adj:0, RMP:12583, duty:608, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1100mA, ntc:7525R, adj:0, RMP:12583, duty:608, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1100mA, ntc:7513R, adj:0, RMP:12583, duty:608, vbemf:898, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1100mA, ntc:7513R, adj:0, RMP:12553, duty:604, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1080mA, ntc:7513R, adj:0, RMP:12553, duty:601, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1080mA, ntc:7513R, adj:0, RMP:12553, duty:601, vbemf:894, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1060mA, ntc:7513R, adj:0, RMP:12553, duty:598, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1060mA, ntc:7513R, adj:0, RMP:12553, duty:598, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1060mA, ntc:7513R, adj:0, RMP:12553, duty:598, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1060mA, ntc:7513R, adj:0, RMP:12553, duty:596, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1060mA, ntc:7502R, adj:0, RMP:12553, duty:596, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1060mA, ntc:7502R, adj:0, RMP:12553, duty:594, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7502R, adj:0, RMP:12553, duty:594, vbemf:894, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7491R, adj:0, RMP:12553, duty:593, vbemf:901, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7491R, adj:0, RMP:12553, duty:590, vbemf:885, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7491R, adj:0, RMP:12553, duty:590, vbemf:883, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1040mA, ntc:7497R, adj:0, RMP:12553, duty:590, vbemf:885, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7491R, adj:0, RMP:12553, duty:590, vbemf:883, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7491R, adj:0, RMP:12553, duty:590, vbemf:883, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7491R, adj:0, RMP:12553, duty:590, vbemf:881, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1040mA, ntc:7486R, adj:0, RMP:12553, duty:590, vbemf:887, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7480R, adj:0, RMP:12553, duty:590, vbemf:888, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7480R, adj:0, RMP:12553, duty:590, vbemf:883, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7480R, adj:0, RMP:12553, duty:590, vbemf:890, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1040mA, ntc:7470R, adj:0, RMP:12523, duty:584, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7475R, adj:0, RMP:12523, duty:584, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7475R, adj:0, RMP:12523, duty:584, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1000mA, ntc:7470R, adj:0, RMP:12523, duty:583, vbemf:901, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7475R, adj:0, RMP:12523, duty:583, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7475R, adj:0, RMP:12523, duty:583, vbemf:888, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7475R, adj:0, RMP:12523, duty:583, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:1000mA, ntc:7459R, adj:0, RMP:12523, duty:583, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7464R, adj:0, RMP:12523, duty:583, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1000mA, ntc:7464R, adj:0, RMP:12523, duty:579, vbemf:888, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7464R, adj:0, RMP:12523, duty:578, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7464R, adj:0, RMP:12523, duty:578, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7464R, adj:0, RMP:12523, duty:578, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7453R, adj:0, RMP:12523, duty:578, vbemf:899, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:980mA, ntc:7448R, adj:0, RMP:12523, duty:576, vbemf:887, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7453R, adj:0, RMP:12523, duty:576, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7442R, adj:0, RMP:12493, duty:574, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7442R, adj:0, RMP:12493, duty:574, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7442R, adj:0, RMP:12493, duty:574, vbemf:890, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:980mA, ntc:7442R, adj:0, RMP:12493, duty:574, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7442R, adj:0, RMP:12493, duty:573, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7442R, adj:0, RMP:12493, duty:572, vbemf:893, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:894, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:888, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:890, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:886, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7431R, adj:0, RMP:12493, duty:572, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7421R, adj:0, RMP:12493, duty:572, vbemf:890, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7415R, adj:0, RMP:12493, duty:572, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7415R, adj:0, RMP:12493, duty:572, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7404R, adj:0, RMP:12493, duty:572, vbemf:896, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7404R, adj:0, RMP:12493, duty:571, vbemf:889, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7410R, adj:0, RMP:12493, duty:571, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:960mA, ntc:7410R, adj:0, RMP:12493, duty:571, vbemf:891, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7404R, adj:0, RMP:12493, duty:571, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7404R, adj:0, RMP:12493, duty:571, vbemf:897, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7393R, adj:0, RMP:12493, duty:571, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7393R, adj:0, RMP:12493, duty:570, vbemf:895, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:960mA, ntc:7393R, adj:0, RMP:12493, duty:569, vbemf:892, bat_level:85, is_use_emergency_flag=0 
bat:3640mV, curr:940mA, ntc:7393R, adj:0, RMP:12493, duty:569, vbemf:890, bat_level:85, is_use_emergency_flag=0 
