 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2057, vref:1254 mV
pwm output enable!
bat:3914mV, curr:1330mA, ntc:7989R,  RMP:11856, duty:839, vbemf:573, bat_level:96, rpm_step:0, duty=839 
bat:3916mV, curr:1290mA, ntc:7994R,  RMP:11856, duty:832, vbemf:590, bat_level:96, rpm_step:0, duty=832 
bat:3918mV, curr:1250mA, ntc:7988R,  RMP:11856, duty:816, vbemf:576, bat_level:96, rpm_step:0, duty=816 
bat:3922mV, curr:1190mA, ntc:7988R,  RMP:11856, duty:810, vbemf:576, bat_level:96, rpm_step:0, duty=810 
bat:3922mV, curr:1170mA, ntc:7988R,  RMP:11856, duty:802, vbemf:586, bat_level:96, rpm_step:0, duty=802 
bat:3922mV, curr:1170mA, ntc:7977R,  RMP:11856, duty:800, vbemf:584, bat_level:96, rpm_step:0, duty=800 
bat:3924mV, curr:1170mA, ntc:7982R,  RMP:11841, duty:793, vbemf:586, bat_level:96, rpm_step:0, duty=793 
bat:3924mV, curr:1130mA, ntc:7971R,  RMP:11841, duty:784, vbemf:574, bat_level:96, rpm_step:0, duty=784 
bat:3926mV, curr:1110mA, ntc:7965R,  RMP:11841, duty:782, vbemf:579, bat_level:96, rpm_step:0, duty=782 
bat:3926mV, curr:1110mA, ntc:7965R,  RMP:11841, duty:781, vbemf:578, bat_level:96, rpm_step:0, duty=781 
bat:3926mV, curr:1110mA, ntc:7965R,  RMP:11841, duty:780, vbemf:577, bat_level:96, rpm_step:0, duty=780 
bat:3926mV, curr:1110mA, ntc:7954R,  RMP:11841, duty:780, vbemf:586, bat_level:96, rpm_step:0, duty=780 
bat:3928mV, curr:1110mA, ntc:7959R,  RMP:11841, duty:780, vbemf:585, bat_level:96, rpm_step:0, duty=780 
bat:3928mV, curr:1090mA, ntc:7948R,  RMP:11841, duty:771, vbemf:578, bat_level:96, rpm_step:0, duty=771 
bat:3928mV, curr:1070mA, ntc:7937R,  RMP:11841, duty:767, vbemf:577, bat_level:96, rpm_step:0, duty=767 
bat:3928mV, curr:1050mA, ntc:7937R,  RMP:11841, duty:764, vbemf:579, bat_level:96, rpm_step:0, duty=764 
bat:3928mV, curr:1030mA, ntc:7937R,  RMP:11826, duty:757, vbemf:573, bat_level:96, rpm_step:0, duty=757 
bat:3928mV, curr:1110mA, ntc:7926R,  RMP:11826, duty:785, vbemf:485, bat_level:96, rpm_step:0, duty=785 
bat:3924mV, curr:1170mA, ntc:7915R,  RMP:11826, duty:797, vbemf:524, bat_level:96, rpm_step:0, duty=797 
bat:3922mV, curr:1170mA, ntc:7910R,  RMP:11826, duty:797, vbemf:541, bat_level:96, rpm_step:0, duty=797 
bat:3922mV, curr:1190mA, ntc:7910R,  RMP:11976, duty:810, vbemf:391, bat_level:96, rpm_step:0, duty=810 
bat:3916mV, curr:1310mA, ntc:7894R,  RMP:11901, duty:845, vbemf:496, bat_level:96, rpm_step:-15, duty=845 
bat:3914mV, curr:1350mA, ntc:7888R,  RMP:11811, duty:848, vbemf:605, bat_level:96, rpm_step:0, duty=848 
bat:3912mV, curr:1350mA, ntc:7883R,  RMP:11811, duty:862, vbemf:483, bat_level:96, rpm_step:0, duty=862 
bat:3906mV, curr:1510mA, ntc:7867R,  RMP:11961, duty:894, vbemf:468, bat_level:96, rpm_step:0, duty=894 
bat:3900mV, curr:1610mA, ntc:7862R,  RMP:11961, duty:926, vbemf:450, bat_level:96, rpm_step:0, duty=926 
bat:3894mV, curr:1750mA, ntc:7846R,  RMP:11901, duty:950, vbemf:497, bat_level:96, rpm_step:0, duty=951 
bat:3894mV, curr:1770mA, ntc:7846R,  RMP:11901, duty:950, vbemf:538, bat_level:96, rpm_step:0, duty=951 
bat:3894mV, curr:1770mA, ntc:7846R,  RMP:11871, duty:950, vbemf:568, bat_level:96, rpm_step:0, duty=951 
bat:3894mV, curr:1770mA, ntc:7835R,  RMP:11871, duty:950, vbemf:546, bat_level:96, rpm_step:0, duty=951 
bat:3892mV, curr:1770mA, ntc:7830R,  RMP:11871, duty:950, vbemf:555, bat_level:96, rpm_step:0, duty=951 
bat:3892mV, curr:1790mA, ntc:7830R,  RMP:11871, duty:950, vbemf:474, bat_level:96, rpm_step:0, duty=951 
bat:3892mV, curr:1770mA, ntc:7819R,  RMP:11856, duty:950, vbemf:507, bat_level:96, rpm_step:0, duty=951 
bat:3892mV, curr:1770mA, ntc:7808R,  RMP:11886, duty:950, vbemf:468, bat_level:96, rpm_step:0, duty=951 
bat:3890mV, curr:1770mA, ntc:7803R,  RMP:11871, duty:950, vbemf:564, bat_level:96, rpm_step:0, duty=951 
bat:3892mV, curr:1750mA, ntc:7808R,  RMP:11841, duty:945, vbemf:548, bat_level:96, rpm_step:0, duty=945 
bat:3892mV, curr:1730mA, ntc:7797R,  RMP:11841, duty:941, vbemf:603, bat_level:96, rpm_step:0, duty=941 
bat:3894mV, curr:1670mA, ntc:7803R,  RMP:11841, duty:933, vbemf:578, bat_level:96, rpm_step:0, duty=933 
bat:3894mV, curr:1670mA, ntc:7803R,  RMP:11841, duty:932, vbemf:587, bat_level:96, rpm_step:0, duty=932 
